rebalance_on,codneg,nomres,codcvm,doc_env,per_fim,shares_outstanding,net_debt,ebit,roic,market_cap,enterprise_value,earnings_yield,rank_final
2014-04-10,RENT3,LOCALIZA,19739,2014-03-21 08:28:52,2013-12-31,211.793,1332.7989999999998,652.067,0.1683755572231059,7061.178620000001,8393.97762,0.07768271843450543,22
2014-04-10,LREN3,LOJAS RENNER,8133,2014-02-20 18:42:23,2013-12-31,125.895,980.8530000000002,650.438,0.2215319689135213,8164.290749999999,9145.14375,0.07112386833722543,23
2014-04-10,ARZZ3,AREZZO CO,22349,2014-03-19 08:00:46,2013-12-31,88.637,-87.273,148.49,0.2833868761729062,2418.90373,2331.63073,0.06368504158460805,24
2014-04-10,CCRO3,CCR SA,18821,2014-03-12 18:32:08,2013-12-31,1765.5872,6995.933,2725.018,0.1792332276776131,30456.3792,37452.3122,0.07275967329995717,25
2014-04-10,MYPK3,IOCHP-MAXION,11932,2014-02-26 18:20:28,2013-12-31,94.863,2111.254,453.559,0.0898652421867096,2056.62984,4167.88384,0.10882237063497431,26
2014-04-10,SEER3,SER EDUCA,23221,2014-03-26 23:05:25,2013-12-31,125.213244,-193.735,137.378,0.3522348608456481,2404.0942848,2210.3592848,0.06215188677456587,27
2014-04-10,CYRE3,CYRELA REALT,14460,2014-03-20 19:48:31,2013-12-31,416.659,2653.59,1002.012,0.0823321946996389,5599.89696,8253.48696,0.1214046868743099,28
2014-04-10,MAGG3,MAGNESITA SA,20842,2014-03-20 19:31:34,2013-12-31,290.677834,534.4750000000001,312.53,0.0673491377199289,1418.50782992,1952.98282992,0.1600270085389343,29
2014-04-10,TIMP3,TIM PART S/A,17639,2014-02-13 21:53:31,2013-12-31,2417.632647,-540.9859999999999,2438.873,0.1167062365981203,27029.13299346,26488.14699346,0.09207412661226037,30
2015-04-10,CVCB3,CVC BRASIL,23310,2015-02-09 20:27:56,2014-12-31,131.465335,-50.499,324.084,0.7872369931984806,2107.38932005,2056.8903200500004,0.15756017559172622,1
2015-04-10,MGLU3,MAGAZ LUIZA,22470,2015-02-26 18:31:29,2014-12-31,181.494467,848.478,490.928,0.2606074654728516,921.99189236,1770.46989236,0.27728683900159584,2
2015-04-10,PCAR4,P.ACUCAR-CBD,14826,2015-02-12 19:44:08,2014-12-31,265.283,-1421.0,4004.0,0.1912738853503184,26798.88866,25377.88866,0.15777514251258443,3
2015-04-10,SEER3,SER EDUCA,23221,2015-04-01 11:32:12,2014-12-31,125.213244,-28.728999999999985,229.349,0.5875470731394902,1731.69916452,1702.97016452,0.134675876758325,4
2015-04-10,HGTX3,CIA HERING,14761,2015-02-26 18:09:37,2014-12-31,164.611,-158.614,357.266,0.2981059674150641,2745.71148,2587.09748,0.13809529898347706,5
2015-04-10,ETER3,ETERNIT,5762,2015-03-12 08:31:33,2014-12-31,179.0,79.534,127.796,0.1562376424693388,553.11,632.644,0.20200302223683464,6
2015-04-10,BEEF3,MINERVA,20931,2015-03-27 18:07:32,2014-12-31,178.00009,2851.6630000000005,593.553,0.1696572252167352,1450.7007335,4302.3637335,0.13795974417001253,7
2015-04-10,BEMA3,BEMATECH,20656,2015-03-10 17:39:31,2014-12-31,51.56827,-38.05200000000001,71.953,0.1382563430717498,523.4179405,485.36594049999997,0.14824484784795072,8
2015-04-10,NATU3,NATURA,19550,2015-02-11 19:21:06,2014-12-31,431.239,2285.224,1364.672,0.3271824379696953,12022.943319999998,14308.167319999999,0.09537713457491215,9
2015-04-10,EZTC3,EZTEC,20770,2015-03-18 22:12:42,2014-12-31,146.72412,272.486,436.377,0.1306711801287888,3019.5823895999997,3292.0683895999996,0.1325540506322901,10
2015-04-10,ANIM3,ANIMA,23248,2015-02-26 18:39:42,2014-12-31,82.865891,-6.8419999999999845,121.562,0.5811266034578918,1471.69822416,1464.8562241600002,0.08298561865326264,11
2015-04-10,RAPT4,RANDON PART,14109,2015-03-12 11:27:34,2014-12-31,304.731,1058.6379999999997,369.412,0.0860023457245202,1121.41008,2180.0480799999996,0.16945130861517516,12
2015-04-10,DIRR3,DIRECIONAL,21350,2015-03-16 19:13:34,2014-12-31,153.265983,283.1879999999999,243.658,0.0825035553412204,976.3043117100001,1259.49231171,0.1934573142960976,13
2015-04-10,BRKM5,BRASKEM,4820,2015-02-12 09:39:42,2014-12-31,797.265348,16253.475000000002,3569.208,0.1077558512558775,9096.79762068,25350.27262068,0.14079564560928415,14
2015-04-10,TGMA3,TEGMA,20800,2015-03-26 18:29:15,2014-12-31,66.002915,281.49800000000005,134.646,0.1225421751540975,1015.7848618500001,1297.2828618500002,0.10379077991363196,15
2015-04-10,WEGE3,WEG,5410,2015-02-25 07:38:22,2014-12-31,807.176538,-101.0269999999996,1094.352,0.161312526354157,13043.97285408,12942.94585408,0.08455200325627785,16
2015-04-10,GRND3,GRENDENE,19615,2015-02-12 17:47:55,2014-12-31,300.72,-489.439,389.413,0.1465568969322067,5019.016800000001,4529.577800000001,0.08597114724467254,17
